date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
4/10/20,BTC,ETH,XRP,LINK,DOT,LTC,ADA,EOS,TRX,XMR
11/10/20,BTC,ETH,XRP,LINK,DOT,LTC,ADA,EOS,XMR,TRX
18/10/20,BTC,ETH,XRP,LINK,DOT,ADA,LTC,EOS,XMR,TRX
25/10/20,BTC,ETH,XRP,LINK,LTC,DOT,ADA,EOS,XMR,TRX
1/11/20,BTC,ETH,XRP,LINK,LTC,DOT,ADA,EOS,XMR,TRX
8/11/20,BTC,ETH,XRP,LINK,LTC,DOT,ADA,EOS,XMR,TRX
15/11/20,BTC,ETH,XRP,LINK,LTC,DOT,ADA,EOS,XMR,TRX
22/11/20,BTC,ETH,XRP,LINK,LTC,DOT,ADA,EOS,XMR,XLM
29/11/20,BTC,ETH,XRP,LINK,LTC,ADA,DOT,XLM,EOS,XMR
6/12/20,BTC,ETH,XRP,LTC,LINK,ADA,DOT,XLM,EOS,XMR
13/12/20,BTC,ETH,XRP,LTC,LINK,ADA,DOT,XLM,XMR,EOS
20/12/20,BTC,ETH,XRP,LTC,LINK,ADA,DOT,XLM,EOS,XMR
27/12/20,BTC,ETH,XRP,LTC,LINK,ADA,DOT,XLM,XMR,EOS
3/01/21,BTC,ETH,LTC,XRP,DOT,ADA,LINK,XLM,EOS,XMR
10/01/21,BTC,ETH,XRP,LTC,ADA,DOT,LINK,XLM,XMR,EOS
17/01/21,BTC,ETH,DOT,XRP,ADA,LTC,LINK,XLM,XMR,EOS
24/01/21,BTC,ETH,DOT,XRP,ADA,LINK,LTC,XLM,UNI,AAVE
31/01/21,BTC,ETH,XRP,DOT,ADA,LINK,LTC,XLM,UNI,DOGE
7/02/21,BTC,ETH,ADA,DOT,LINK,LTC,DOGE,XLM,AAVE,UNI
14/02/21,BTC,ETH,XRP,ADA,DOT,LTC,LINK,XLM,DOGE,UNI
21/02/21,BTC,ETH,DOT,ADA,XRP,LTC,LINK,XLM,UNI,DOGE
28/02/21,BTC,ETH,ADA,DOT,XRP,LTC,LINK,XLM,UNI,DOGE
7/03/21,BTC,ETH,ADA,DOT,XRP,UNI,LTC,LINK,XLM,DOGE
14/03/21,BTC,ETH,ADA,DOT,XRP,UNI,LINK,XLM,DOGE,LUNA
21/03/21,BTC,ETH,ADA,DOT,XRP,UNI,LTC,LINK,XLM,LUNA
28/03/21,BTC,ETH,ADA,DOT,XRP,UNI,LTC,LINK,XLM,FIL
4/04/21,BTC,ETH,DOT,ADA,XRP,UNI,LTC,LINK,FIL,BTT
11/04/21,BTC,ETH,XRP,ADA,DOT,LTC,UNI,LINK,XLM,FIL
18/04/21,BTC,ETH,XRP,DOGE,ADA,DOT,LTC,UNI,LINK,VET
25/04/21,BTC,ETH,XRP,ADA,DOGE,DOT,UNI,LTC,LINK,SOL
2/05/21,BTC,ETH,XRP,DOGE,ADA,DOT,UNI,LTC,LINK,VET
9/05/21,BTC,ETH,DOGE,ADA,XRP,DOT,LTC,LINK,UNI,VET
16/05/21,BTC,ETH,ADA,DOGE,XRP,DOT,ICP,UNI,LTC,LINK
23/05/21,BTC,ETH,ADA,DOGE,XRP,ICP,DOT,UNI,LTC,LINK
30/05/21,BTC,ETH,ADA,XRP,DOGE,DOT,UNI,ICP,MATIC,LINK
6/06/21,BTC,ETH,ADA,DOGE,XRP,DOT,UNI,ICP,LINK,LTC
13/06/21,BTC,ETH,ADA,DOGE,XRP,DOT,UNI,LTC,SOL,LINK
20/06/21,BTC,ETH,ADA,DOGE,XRP,DOT,UNI,LTC,SOL,LINK
27/06/21,BTC,ETH,ADA,DOGE,XRP,DOT,UNI,LTC,SOL,LINK
4/07/21,BTC,ETH,ADA,DOGE,XRP,DOT,UNI,LTC,SOL,LINK
11/07/21,BTC,ETH,ADA,XRP,DOGE,DOT,UNI,LTC,SOL,LINK
18/07/21,BTC,ETH,ADA,XRP,DOGE,DOT,UNI,LTC,SOL,LINK
25/07/21,BTC,ETH,ADA,XRP,DOGE,DOT,UNI,LTC,SOL,LINK
1/08/21,BTC,ETH,ADA,XRP,DOGE,DOT,UNI,LINK,LTC,SOL
8/08/21,BTC,ETH,ADA,XRP,DOGE,DOT,UNI,SOL,LINK,LTC
15/08/21,BTC,ETH,ADA,XRP,DOGE,DOT,UNI,SOL,LINK,LTC
22/08/21,BTC,ETH,ADA,XRP,DOGE,DOT,SOL,UNI,LINK,LTC
29/08/21,BTC,ETH,ADA,XRP,DOGE,SOL,DOT,UNI,LUNA,LTC
5/09/21,BTC,ETH,ADA,XRP,SOL,DOGE,DOT,UNI,LTC,LINK
12/09/21,BTC,ETH,ADA,XRP,SOL,DOT,DOGE,LUNA,UNI,LINK
19/09/21,BTC,ETH,ADA,XRP,SOL,DOT,DOGE,AVAX,UNI,LUNA
26/09/21,BTC,ETH,ADA,XRP,SOL,DOT,DOGE,UNI,AVAX,LUNA
3/10/21,BTC,ETH,ADA,SOL,XRP,DOT,DOGE,LUNA,UNI,AVAX
