date,s378,s379,s380,s381,s433,s434,s593,s594
12/9/2019 7:00:00,0,-0.001140345,0.000882629,-0.002767739,-0.000756149,-0.001275201,-0.00512723,0.003014841
12/16/2019 7:00:00,-0.008193686,-0.007634558,-0.007519409,-0.026164947,-0.081493183,0,-0.002973909,-0.00911862
12/23/2019 7:00:00,0.001114375,0.00173584,0.000224002,0.003556737,0.010088968,-0.008291587,-0.003500169,-0.012335265
12/30/2019 7:00:00,0.002366385,-0.00223792,0.002983751,-0.009958318,-0.012614781,0.001627378,0.004609094,-0.002960208
1/6/2020 7:00:00,0.010939448,0.015888713,0.012304162,0.052786791,0.062602323,0.044929865,0.00234282,-0.008450565
1/13/2020 7:00:00,0.005784661,0.032445461,0.005582162,0.129777672,-0.00098762,-0.000218309,0.001102316,-0.01883429
1/20/2020 7:00:00,0.021055821,-0.003081851,0.024349033,-0.012245509,0.039427885,0.091009237,0.00350932,-0.011270828
1/27/2020 7:00:00,0.001477822,0.024622668,0.004941038,0.086595196,0.018515158,0.019071865,0.002436768,-0.013369101
2/3/2020 7:00:00,0.004354615,0.005317634,0.013819298,0.021430706,0.14095008,-0.001092618,-0.001818934,0.001536906
2/10/2020 7:00:00,0.007362968,0.009828554,0.007294711,0.039330765,-0.001111435,0.050139585,-0.003388664,-0.002438046
2/17/2020 7:00:00,0.000764062,-0.0139871,-0.002012502,-0.055933707,0.066266067,0.054206065,0.003488853,-0.003834261
